box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,normalized1000_box_count,params_M,perturbation,pixel_box_count,round_index,sample,strength
1,0.9240913391113281,0.9604336215792749,0.9238790725786399,zijinshan,601.3148779993571,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,30,2024_omap_2024_000031,0.70
0,0.98089599609375,0.0,0.0,zijinshan,382.3791180002445,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,0,31,2024_omap_2024_000002,0.70
1,0.7814216613769531,0.8750340772534061,0.7778316298835244,zijinshan,604.6289269997942,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,32,2024_omap_2024_000051,0.70
2,0.8141441345214844,0.21108538303350227,0.11799634316334474,zijinshan,864.3805409992638,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,33,2024_omap_2024_000060,0.70
2,0.6130943298339844,0.3883538471743968,0.240967191522481,zijinshan,831.8079529999522,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,34,2024_omap_2024_000056,0.70
1,0.5576324462890625,0.7094653505035827,0.5497452941541903,zijinshan,600.7832280001821,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,35,2024_omap_2024_000055,0.70
1,0.9479026794433594,0.9732472198225622,0.9478885653997169,zijinshan,602.9016170004979,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,36,2024_omap_2024_000030,0.70
1,0.1841278076171875,0.139428957702955,0.07493879810728281,zijinshan,644.480721999571,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,37,2024_omap_2024_000009,0.70
2,0.6680107116699219,0.4567851146300816,0.2959957935609125,zijinshan,853.3692549999614,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,38,2024_omap_2024_000057,0.70
1,0.9259986877441406,0.9612163499505183,0.925328724518076,zijinshan,601.4131980000457,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,39,2024_omap_2024_000044,0.70
1,0.8557929992675781,0.5678620011659942,0.39651346562155776,zijinshan,648.6109110001053,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,40,2024_omap_2024_000064,0.70
1,0.5545768737792969,0.7079758007437845,0.5479586227187909,zijinshan,600.8498380006131,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,41,2024_omap_2024_000046,0.70
1,0.927215576171875,0.962115195221908,0.9269961278868669,zijinshan,600.2837579999323,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,42,2024_omap_2024_000013,0.70
1,0.8938484191894531,0.0,0.0,zijinshan,646.5785520003919,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,43,2024_omap_2024_000065,0.70
1,0.4583702087402344,0.6231910596615261,0.4526343789635192,zijinshan,600.4120390007301,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,44,2024_omap_2024_000050,0.70
1,0.428741455078125,0.5944976983482264,0.42297881522467884,zijinshan,600.824508000187,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,45,2024_omap_2024_000023,0.70
2,0.8727874755859375,0.042824339839265216,0.02188068281809116,zijinshan,866.070160000163,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,46,2024_omap_2024_000063,0.70
1,0.9530181884765625,0.97580039847996,0.9527443645083933,zijinshan,601.6328880004949,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,47,2024_omap_2024_000028,0.70
1,0.9068489074707031,0.950773603733457,0.906166302255252,zijinshan,603.1930979997924,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,48,2024_omap_2024_000007,0.70
2,0.9644241333007812,0.9818702809464934,0.9643862295457583,zijinshan,817.8223780005283,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,2,49,2024_omap_2024_000043,0.70
1,0.96807861328125,0.9837804310745852,0.96807861328125,zijinshan,612.3934829993232,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,50,2024_omap_2024_000037,0.70
1,0.6428451538085938,0.7783632791231684,0.6371479064287596,zijinshan,611.7993140005638,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,51,2024_omap_2024_000034,0.70
1,0.8628196716308594,0.9262128073440428,0.862566450483641,zijinshan,600.976028000332,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,52,2024_omap_2024_000041,0.70
1,0.7011070251464844,0.7444763678225393,0.5929608561261331,zijinshan,600.2080179996483,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,53,2024_omap_2024_000048,0.70
1,0.9650611877441406,0.9822199876147528,0.9650611877441406,zijinshan,613.8404929997705,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,54,2024_omap_2024_000042,0.70
1,0.9452743530273438,0.971802028461357,0.945150696034838,zijinshan,601.0766079998575,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,55,2024_omap_2024_000020,0.70
1,0.4146385192871094,0.1788770153630463,0.09822346808648179,zijinshan,622.8900800006159,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,56,2024_omap_2024_000006,0.70
1,0.7018013000488281,0.8229346223280277,0.6991409635679262,zijinshan,599.7159689995897,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,57,2024_omap_2024_000032,0.70
1,0.4160308837890625,0.579062567024313,0.40752150910097185,zijinshan,602.0442980006919,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,58,2024_omap_2024_000024,0.70
1,0.4952735900878906,0.6555396747294402,0.48758573414765444,zijinshan,600.8430380006757,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,59,2024_omap_2024_000022,0.70
1,0.9681816101074219,0.9838336108166149,0.9681816101074219,zijinshan,613.212193000436,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,60,2024_omap_2024_000040,0.70
1,0.6999359130859375,0.8232534311214172,0.6996013014985565,zijinshan,600.703588000215,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,61,2024_omap_2024_000004,0.70
1,0.8343887329101562,0.9093043758016871,0.8336921462117788,zijinshan,599.4274589993438,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,62,2024_omap_2024_000008,0.70
